CITY,SCELL,NCELL,HOATT,HOSUCC,HOSUCCRATE
sanxia,124711-0,15290-128,797,791,0.9925
sanxia,124711-0,124711-1,435,435,1
sanxia,124711-0,253932-0,146,144,0.9863
sanxia,124711-0,124687-2,141,141,1
sanxia,124711-0,124711-2,111,111,1
sanxia,124711-0,124687-1,6,4,0.6667
sanxia,124711-1,7201-128,7234,7227,0.999
sanxia,124711-1,253901-0,3157,3147,0.9968
sanxia,124711-1,253932-0,1889,1884,0.9974
sanxia,124711-1,124711-0,399,399,1
sanxia,124711-1,5691-128,311,311,1
sanxia,124711-1,253904-0,147,147,1
sanxia,124711-1,253932-2,89,89,1
sanxia,124711-1,15290-128,70,70,1
sanxia,124711-1,124711-2,63,63,1
sanxia,124711-1,124673-1,17,17,1
sanxia,124711-1,15113-128,8,8,1
sanxia,124711-1,253930-128,2,2,1
sanxia,124711-1,253930-129,1,1,1
sanxia,124711-2,253901-0,3408,3401,0.9979
sanxia,124711-2,5691-128,2560,2558,0.9992
sanxia,124711-2,124673-1,2149,2147,0.9991
sanxia,124711-2,124673-0,1718,1706,0.993
sanxia,124711-2,7201-128,1012,1007,0.9951
sanxia,124711-2,15290-129,545,543,0.9963
sanxia,124711-2,7202-128,340,325,0.9559
sanxia,124711-2,124683-2,244,240,0.9836
sanxia,124711-2,15290-128,198,196,0.9899
sanxia,124711-2,259595-1,169,165,0.9763
sanxia,124711-2,124711-0,110,110,1
sanxia,124711-2,47444-1,100,97,0.97
sanxia,124711-2,7202-129,99,98,0.9899
sanxia,124711-2,253901-2,82,82,1
sanxia,124711-2,259595-2,81,81,1
sanxia,124711-2,124711-1,49,48,0.9796
sanxia,124711-2,259654-1,14,11,0.7857
sanxia,124711-2,259595-0,7,7,1
sanxia,124711-2,259655-1,5,5,1
sanxia,124711-2,124683-1,2,2,1
sanxia,124711-2,124812-0,2,2,1
sanxia,124711-2,124687-2,1,1,1
sanxia,124712-0,253928-2,3296,3282,0.9958
sanxia,124712-0,253916-2,1824,1806,0.9901
sanxia,124712-0,124712-1,593,592,0.9983
sanxia,124712-0,253917-2,591,588,0.9949
sanxia,124712-0,124712-2,364,364,1
sanxia,124712-0,253933-1,168,166,0.9881
sanxia,124712-0,253906-1,143,141,0.986
sanxia,124712-0,253922-2,136,135,0.9926
sanxia,124712-0,253917-1,114,114,1
sanxia,124712-0,274161-128,113,108,0.9558
sanxia,124712-0,253928-0,53,53,1
sanxia,124712-0,253941-1,23,21,0.913
