起始时间,网元/基站名称,小区,小区名称,RRC连接建立完成次数 (无),RRC连接请求次数（包括重发） (无),RRC建立成功率qf (%),E-RAB建立成功总次数 (无),E-RAB建立尝试总次数 (无),E-RAB建立成功率2 (%),eNodeB触发的E-RAB异常释放总次数 (无),小区切换出E-RAB异常释放总次数 (无),E-RAB掉线率(新) (%),无线接通率ay (%),eNodeB发起的S1 RESET导致的UE Context释放次数 (无),UE Context异常释放次数 (无),UE Context建立成功总次数 (无),无线掉线率 (%),eNodeB内异频切换出成功次数 (无),eNodeB内异频切换出尝试次数 (无),eNodeB内同频切换出成功次数 (无),eNodeB内同频切换出尝试次数 (无),eNodeB间异频切换出成功次数 (无),eNodeB间异频切换出尝试次数 (无),eNodeB间同频切换出成功次数 (无),eNodeB间同频切换出尝试次数 (无),eNB内切换成功率 (%),eNB间切换成功率 (%),同频切换成功率zsp (%),异频切换成功率zsp (%),切换成功率 (%),小区PDCP层所接收到的上行数据的总吞吐量 (比特),小区PDCP层所发送的下行数据的总吞吐量 (比特),RRC重建请求次数 (无),RRC连接重建比率 (%),通过重建回源小区的eNodeB间同频切换出执行成功次数 (无),通过重建回源小区的eNodeB间异频切换出执行成功次数 (无),通过重建回源小区的eNodeB内同频切换出执行成功次数 (无),通过重建回源小区的eNodeB内异频切换出执行成功次数 (无),eNB内切换出成功次数 (次),eNB内切换出请求次数 (次)
07/17/2020 00:00:00,H霍义马高速东-HLHF,"eNodeB名称=H霍义马高速东-HLHF, 本地小区标识=0, 小区名称=H霍义马高速东-HLHF-1, eNodeB标识=7200, 小区双工模式=CELL_TDD",H霍义马高速东-HLHF-1,20316,20412,0.995,18319,18338,0.999,19,0,0.001,0.996,0,24,17816,0.001,0,0,0,0,0,0,20402,20415,0,0.999,0.999,0,0.999,1680560040,10614048840,271,0.013,5,0,0,0,0,0
07/18/2020 00:00:00,H霍义马高速东-HLHF,"eNodeB名称=H霍义马高速东-HLHF, 本地小区标识=0, 小区名称=H霍义马高速东-HLHF-1, eNodeB标识=7200, 小区双工模式=CELL_TDD",H霍义马高速东-HLHF-1,16907,17133,0.987,14925,14936,0.999,32,0,0.002,0.994,0,37,14574,0.003,0,0,0,0,0,0,18147,18166,0,0.998,0.998,0,0.998,1569767160,9048823464,301,0.017,20,0,0,0,0,0
07/19/2020 00:00:00,H霍义马高速东-HLHF,"eNodeB名称=H霍义马高速东-HLHF, 本地小区标识=0, 小区名称=H霍义马高速东-HLHF-1, eNodeB标识=7200, 小区双工模式=CELL_TDD",H霍义马高速东-HLHF-1,16181,16426,0.985,15058,15084,0.998,57,0,0.004,0.989,0,77,14802,0.005,0,0,0,0,0,0,17868,17881,0,0.999,0.999,0,0.999,1490726432,9328608632,328,0.02,4,0,0,0,0,0
07/17/2020 00:00:00,H霍义马高速西-HLHF,"eNodeB名称=H霍义马高速西-HLHF, 本地小区标识=0, 小区名称=H霍义马高速西-HLHF-1, eNodeB标识=5682, 小区双工模式=CELL_TDD",H霍义马高速西-HLHF-1,22915,22951,0.998,21644,21652,1,25,0,0.001,0.999,0,24,21129,0.001,0,0,0,0,0,0,20218,20226,0,0.999,0.999,0,0.999,2359923920,16197729064,138,0.006,5,0,0,0,0,0
07/18/2020 00:00:00,H霍义马高速西-HLHF,"eNodeB名称=H霍义马高速西-HLHF, 本地小区标识=0, 小区名称=H霍义马高速西-HLHF-1, eNodeB标识=5682, 小区双工模式=CELL_TDD",H霍义马高速西-HLHF-1,20244,20288,0.998,19569,19574,1,18,0,0.001,0.999,0,21,19050,0.001,0,0,0,0,0,0,19156,19159,0,1,1,0,1,2007461472,13588335856,138,0.007,5,0,0,0,0,0
07/19/2020 00:00:00,H霍义马高速西-HLHF,"eNodeB名称=H霍义马高速西-HLHF, 本地小区标识=0, 小区名称=H霍义马高速西-HLHF-1, eNodeB标识=5682, 小区双工模式=CELL_TDD",H霍义马高速西-HLHF-1,18634,18671,0.998,18295,18300,1,8,0,0,0.999,0,8,17863,0,0,0,0,0,0,0,17019,17022,0,1,1,0,1,1836613464,11346055296,127,0.007,4,0,0,0,0,0
07/17/2020 00:00:00,B马310国道煤场-HLHF,"eNodeB名称=B马310国道煤场-HLHF, 本地小区标识=1, 小区名称=B马310国道煤场-HLHF-2, eNodeB标识=124898, 小区双工模式=CELL_TDD",B马310国道煤场-HLHF-2,62324,62447,0.998,56116,56138,1,103,0,0.002,0.999,0,107,53424,0.002,0,0,102,102,69,69,21974,22061,1,0.995,0.995,1,0.995,4098010992,41817975160,414,0.007,17,0,0,0,102,102
07/17/2020 00:00:00,B马310国道煤场-HLHF,"eNodeB名称=B马310国道煤场-HLHF, 本地小区标识=0, 小区名称=B马310国道煤场-HLHF-1, eNodeB标识=124898, 小区双工模式=CELL_TDD",B马310国道煤场-HLHF-1,55662,56145,0.991,26004,26043,0.999,84,0,0.003,0.997,0,89,24801,0.004,0,0,94,94,3,3,22749,23094,1,0.983,0.983,1,0.983,3615834560,21036685488,3230,0.055,47,0,0,0,94,94
07/18/2020 00:00:00,B马310国道煤场-HLHF,"eNodeB名称=B马310国道煤场-HLHF, 本地小区标识=1, 小区名称=B马310国道煤场-HLHF-2, eNodeB标识=124898, 小区双工模式=CELL_TDD",B马310国道煤场-HLHF-2,58651,58727,0.999,51904,51919,1,105,0,0.002,0.999,0,100,49757,0.002,0,0,80,80,141,141,23562,23623,1,0.996,0.996,1,0.996,3814499968,33564986880,481,0.008,30,0,0,0,80,80
07/18/2020 00:00:00,B马310国道煤场-HLHF,"eNodeB名称=B马310国道煤场-HLHF, 本地小区标识=0, 小区名称=B马310国道煤场-HLHF-1, eNodeB标识=124898, 小区双工模式=CELL_TDD",B马310国道煤场-HLHF-1,60789,61189,0.993,27898,27927,0.999,81,0,0.003,0.998,0,85,26613,0.003,0,0,77,77,15,16,24369,24689,1,0.986,0.986,0.938,0.986,3038152744,22447390344,3051,0.048,31,0,0,0,77,77
