S_SECTOR_ID,N_SECTOR_ID,S_EARFCN,N_EARFCN
124673-0,5691-128,38400,38400
124673-0,7201-128,38400,38400
124673-0,7202-128,38400,38400
124673-0,7202-129,38400,38400
124673-0,15290-128,38400,38400
124673-0,15290-129,38400,38400
124673-0,47443-0,38400,38400
124673-0,47444-0,38400,38400
124673-0,47444-1,38400,38400
124673-0,124673-1,38400,38400
124673-0,124673-2,38400,38400
124673-0,124683-1,38400,38400
124673-0,124711-0,38400,38400
124673-0,124711-1,38400,38400
124673-0,124711-2,38400,38400
124673-0,124812-0,38400,38400
124673-0,124812-2,38400,38400
124673-0,253901-0,38400,38400
124673-0,253930-130,38400,38400
124673-0,259595-0,38400,38400
124673-0,259595-1,38400,38400
124673-0,259654-1,38400,38400
124673-0,259655-1,38400,38400
124673-0,47588-16,38400,38950
124673-1,5691-128,38400,38400
124673-1,7201-128,38400,38400
124673-1,7202-128,38400,38400
124673-1,7202-129,38400,38400
124673-1,7202-130,38400,38400
124673-1,15290-129,38400,38400
124673-1,47443-0,38400,38400
124673-1,47443-1,38400,38400
124673-1,47444-1,38400,38400
124673-1,47459-0,38400,38400
124673-1,124673-0,38400,38400
124673-1,124673-2,38400,38400
124673-1,124711-1,38400,38400
124673-1,124711-2,38400,38400
124673-1,124812-0,38400,38400
124673-1,124812-1,38400,38400
124673-1,253901-0,38400,38400
124673-1,253901-2,38400,38400
124673-1,253905-0,38400,38400
124673-1,253905-2,38400,38400
124673-1,253930-0,38400,38400
124673-1,253930-2,38400,38400
124673-1,253930-130,38400,38400
124673-1,259595-1,38400,38400
124673-1,259778-0,38400,38400
124673-1,259778-1,38400,38400
124673-1,47588-16,38400,38950
124673-2,7201-128,38400,38400
124673-2,7202-128,38400,38400
124673-2,7202-129,38400,38400
124673-2,7202-130,38400,38400
124673-2,15583-128,38400,38400
124673-2,47443-0,38400,38400
124673-2,47443-2,38400,38400
124673-2,47444-0,38400,38400
124673-2,47444-1,38400,38400
124673-2,47444-2,38400,38400
124673-2,47459-0,38400,38400
124673-2,47459-1,38400,38400
124673-2,124673-0,38400,38400
124673-2,124673-1,38400,38400
124673-2,124694-1,38400,38400
124673-2,124812-0,38400,38400
124673-2,124812-1,38400,38400
124673-2,124812-2,38400,38400
124673-2,253786-0,38400,38400
124673-2,253786-1,38400,38400
124673-2,253786-2,38400,38400
124673-2,253901-2,38400,38400
124673-2,253930-130,38400,38400
124673-2,259595-1,38400,38400
124673-2,259654-1,38400,38400
124673-2,259778-0,38400,38400
124673-2,259778-2,38400,38400
124673-2,47518-16,38400,38950
124673-2,47586-16,38400,38950
