S_SECTOR_ID,N_SECTOR_ID
124673-0,253932-2
124673-0,253786-0
124673-0,47443-1
124673-0,5641-128
124673-0,253930-128
124673-0,124711-1
124673-0,47588-16
124673-0,259595-1
124673-0,124673-2
124673-0,5641-130
124673-0,7318-144
124673-0,47443-2
124673-0,253930-129
124673-0,253932-1
124673-0,124683-0
124673-0,259595-2
124673-0,253931-0
124673-0,253930-130
124673-0,124683-1
124673-0,253901-0
124673-0,253771-0
124673-0,15290-129
124673-0,253939-2
124673-0,15578-128
124673-0,124685-0
124673-0,253898-0
124673-0,47459-1
124673-0,253905-0
124673-0,7401-129
124673-0,259654-1
124673-0,253901-2
124673-0,259778-0
124673-0,7298-144
124673-0,124685-1
124673-0,15578-129
124673-0,124711-2
124673-0,253894-0
124673-0,253898-1
124673-0,253901-1
124673-0,124687-2
124673-0,259655-1
124673-0,253939-0
124673-0,253905-1
124673-0,259778-2
124673-0,253932-0
124673-0,5641-129
124673-0,253893-0
124673-0,238455-16
124673-0,124683-2
124673-0,124812-0
124673-0,253905-2
124673-0,259775-2
124673-0,47459-0
124673-0,259775-0
124673-0,124812-1
124673-0,5691-128
124673-0,7400-130
124673-0,124685-2
124673-0,253893-1
124673-0,259595-0
124673-0,124673-1
124673-0,124687-1
124673-0,7202-128
124673-0,124687-0
124673-0,7400-129
124673-0,47444-1
124673-0,238397-1
124673-0,253893-2
124673-0,253904-2
124673-0,253927-2
124673-0,238397-2
124673-0,253894-2
124673-0,259778-1
124673-0,47443-0
124673-0,124711-0
124673-0,253927-1
124673-0,253904-0
124673-0,253931-1
124673-0,253898-2
124673-0,7201-128
124673-0,238397-0
124673-0,124812-2
124673-0,15290-128
124673-0,15113-130
124673-0,15113-128
124673-0,7319-144
124673-0,7202-129
124673-0,253904-1
124673-0,7400-128
124673-0,253927-0
124673-0,253903-0
124673-0,7401-128
124673-0,253903-2
124673-0,259775-1
124673-0,253931-2
124673-1,253931-1
124673-1,7201-128
124673-1,259654-1
124673-1,253921-2
124673-1,238397-1
124673-1,253927-1
124673-1,124812-0
124673-1,5641-129
124673-1,15578-128
124673-1,238455-16
124673-1,259655-1
124673-1,47443-0
124673-1,253904-0
124673-1,124711-0
124673-1,259778-1
124673-1,15290-129
124673-1,7298-144
124673-1,253939-2
124673-1,7400-128
124673-1,15113-130
124673-1,7295-144
124673-1,253905-1
124673-1,253894-0
124673-1,253771-1
124673-1,253932-0
124673-1,124683-2
124673-1,253905-2
124673-1,124812-2
124673-1,253904-1
124673-1,7296-144
124673-1,253893-0
124673-1,253930-128
124673-1,259775-2
124673-1,5691-128
124673-1,253786-0
124673-1,7202-130
124673-1,253893-1
124673-1,253936-2
124673-1,7319-144
124673-1,124711-1
124673-1,47459-0
124673-1,124685-2
124673-1,259775-0
124673-1,253932-2
124673-1,259595-0
124673-1,7202-128
124673-1,253930-130
124673-1,253896-0
124673-1,7400-130
124673-1,253934-1
124673-1,253893-2
124673-1,253901-2
124673-1,253921-0
124673-1,253927-2
124673-1,238397-2
124673-1,253896-1
124673-1,253898-0
124673-1,253901-0
124673-1,253934-0
124673-1,253894-2
124673-1,259778-0
124673-1,124687-2
124673-1,259778-2
124673-1,253927-0
124673-1,238397-0
124673-1,15290-128
124673-1,253786-1
124673-1,124711-2
124673-1,253934-2
124673-1,15113-128
124673-1,253903-0
124673-1,124673-0
124673-1,253898-1
124673-1,47588-16
124673-1,7202-129
124673-1,253936-0
124673-1,253901-1
124673-1,5641-128
124673-1,253903-2
124673-1,47443-1
124673-1,7401-128
124673-1,253896-2
124673-1,253931-2
124673-1,124812-1
124673-1,253939-0
124673-1,253903-1
124673-1,259775-1
124673-1,7401-130
124673-1,253931-0
124673-1,259595-1
124673-1,124673-2
124673-1,5641-130
124673-1,47443-2
124673-1,124818-0
124673-1,253930-129
124673-1,7400-129
124673-1,253939-1
124673-1,124683-1
124673-1,47459-1
124673-1,253932-1
124673-1,7318-144
124673-1,259595-2
124673-1,47444-1
124673-1,15578-129
124673-1,7401-129
