SECTOR_ID,EARFCN,CELL_TYPE
15113-3,37900,优化区
15113-4,37900,优化区
15113-5,37900,优化区
253892-3,37900,优化区
253892-4,37900,优化区
253892-5,37900,优化区
253907-3,37900,优化区
253907-4,37900,优化区
253907-5,37900,优化区
259627-3,37900,优化区
259627-4,37900,优化区
259627-5,37900,优化区
259761-3,37900,优化区
259761-4,37900,优化区
259761-5,37900,优化区
246506-3,37900,保护带
246506-4,37900,保护带
246506-5,37900,保护带
246506-0,38098,保护带
246506-1,38098,保护带
246506-2,38098,保护带
254642-0,38098,保护带
124711-0,38400,优化区
124711-1,38400,优化区
124711-2,38400,优化区
124712-0,38400,优化区
124712-1,38400,优化区
124712-2,38400,优化区
124713-0,38400,优化区
124713-1,38400,优化区
124713-2,38400,优化区
124818-0,38400,优化区
124818-1,38400,优化区
124818-2,38400,优化区
124893-0,38400,优化区
124893-1,38400,优化区
124893-2,38400,优化区
124898-0,38400,优化区
124898-1,38400,优化区
124923-0,38400,优化区
124923-1,38400,优化区
124924-0,38400,优化区
124924-1,38400,优化区
124924-2,38400,优化区
15113-128,38400,优化区
15113-129,38400,优化区
15113-130,38400,优化区
15114-128,38400,优化区
15114-129,38400,优化区
15114-130,38400,优化区
15115-128,38400,优化区
15115-129,38400,优化区
15115-130,38400,优化区
15116-128,38400,优化区
15116-129,38400,优化区
15116-130,38400,优化区
15117-128,38400,优化区
15117-129,38400,优化区
15117-130,38400,优化区
15427-128,38400,优化区
15427-129,38400,优化区
15496-128,38400,优化区
15496-129,38400,优化区
15496-130,38400,优化区
15514-128,38400,优化区
15514-129,38400,优化区
15514-130,38400,优化区
15516-128,38400,优化区
15516-129,38400,优化区
15516-130,38400,优化区
15578-128,38400,优化区
15578-129,38400,优化区
15578-130,38400,优化区
15579-128,38400,优化区
15579-129,38400,优化区
15579-130,38400,优化区
15592-128,38400,优化区
15592-129,38400,优化区
238397-0,38400,优化区
238397-1,38400,优化区
238397-2,38400,优化区
253890-0,38400,优化区
253890-1,38400,优化区
253890-2,38400,优化区
253891-0,38400,优化区
253891-1,38400,优化区
253891-2,38400,优化区
253892-0,38400,优化区
253892-1,38400,优化区
253892-2,38400,优化区
253893-0,38400,优化区
253893-1,38400,优化区
253893-2,38400,优化区
253894-0,38400,优化区
253894-1,38400,优化区
253894-2,38400,优化区
253895-0,38400,优化区
253895-1,38400,优化区
253895-2,38400,优化区
253896-0,38400,优化区
253896-1,38400,优化区
253896-2,38400,优化区
253898-0,38400,优化区
253898-1,38400,优化区
253898-2,38400,优化区
253899-0,38400,优化区
253899-1,38400,优化区
253899-2,38400,优化区
253900-0,38400,优化区
253900-1,38400,优化区
253900-2,38400,优化区
253901-0,38400,优化区
253901-1,38400,优化区
253901-2,38400,优化区
253902-0,38400,优化区
253902-1,38400,优化区
253902-2,38400,优化区
253903-0,38400,优化区
253903-1,38400,优化区
253903-2,38400,优化区
253904-0,38400,优化区
253904-1,38400,优化区
253904-2,38400,优化区
253905-0,38400,优化区
253905-1,38400,优化区
253905-2,38400,优化区
253906-0,38400,优化区
253906-1,38400,优化区
253906-2,38400,优化区
253907-0,38400,优化区
253907-1,38400,优化区
253907-2,38400,优化区
253908-0,38400,优化区
253908-1,38400,优化区
253908-2,38400,优化区
253909-0,38400,优化区
253909-1,38400,优化区
253909-2,38400,优化区
253910-0,38400,优化区
253910-1,38400,优化区
253910-2,38400,优化区
253911-0,38400,优化区
253911-1,38400,优化区
253911-2,38400,优化区
253912-0,38400,优化区
253912-1,38400,优化区
253912-2,38400,优化区
253913-0,38400,优化区
253913-1,38400,优化区
253913-2,38400,优化区
253914-0,38400,优化区
253914-1,38400,优化区
253914-2,38400,优化区
253915-0,38400,优化区
253915-1,38400,优化区
253915-2,38400,优化区
253916-0,38400,优化区
253916-1,38400,优化区
253916-2,38400,优化区
253917-0,38400,优化区
253917-1,38400,优化区
253917-2,38400,优化区
253918-0,38400,优化区
253918-1,38400,优化区
253918-2,38400,优化区
253919-0,38400,优化区
253919-1,38400,优化区
253919-2,38400,优化区
253920-0,38400,优化区
253920-1,38400,优化区
253920-2,38400,优化区
253921-0,38400,优化区
253921-1,38400,优化区
253921-2,38400,优化区
253922-0,38400,优化区
253922-1,38400,优化区
253922-2,38400,优化区
253923-0,38400,优化区
253923-1,38400,优化区
253923-2,38400,优化区
253924-0,38400,优化区
253924-1,38400,优化区
253924-2,38400,优化区
253926-0,38400,优化区
253926-1,38400,优化区
253926-2,38400,优化区
253927-0,38400,优化区
253927-1,38400,优化区
253927-2,38400,优化区
253928-0,38400,优化区
253928-1,38400,优化区
253928-2,38400,优化区
253929-0,38400,优化区
253929-1,38400,优化区
253929-2,38400,优化区
253930-128,38400,优化区
253930-129,38400,优化区
253930-130,38400,优化区
253931-0,38400,优化区
253931-1,38400,优化区
253931-2,38400,优化区
253932-0,38400,优化区
253932-1,38400,优化区
253932-2,38400,优化区
253933-0,38400,优化区
253933-1,38400,优化区
253933-2,38400,优化区
253934-0,38400,优化区
253934-1,38400,优化区
253934-2,38400,优化区
253935-0,38400,优化区
253935-1,38400,优化区
253935-2,38400,优化区
253936-0,38400,优化区
253936-1,38400,优化区
253936-2,38400,优化区
253937-0,38400,优化区
253937-1,38400,优化区
253937-2,38400,优化区
253938-0,38400,优化区
253938-1,38400,优化区
253938-2,38400,优化区
253939-0,38400,优化区
253939-1,38400,优化区
253939-2,38400,优化区
253940-0,38400,优化区
253940-1,38400,优化区
253940-2,38400,优化区
253941-0,38400,优化区
253941-1,38400,优化区
253941-2,38400,优化区
253949-0,38400,优化区
253949-1,38400,优化区
253949-2,38400,优化区
253950-0,38400,优化区
253950-1,38400,优化区
253950-2,38400,优化区
259584-0,38400,优化区
259584-1,38400,优化区
259584-2,38400,优化区
259584-3,38400,优化区
259627-0,38400,优化区
259627-1,38400,优化区
259627-2,38400,优化区
259682-0,38400,优化区
259682-1,38400,优化区
259682-2,38400,优化区
259761-0,38400,优化区
259761-1,38400,优化区
259761-2,38400,优化区
259772-0,38400,优化区
259772-1,38400,优化区
259772-2,38400,优化区
259775-0,38400,优化区
259775-1,38400,优化区
259775-2,38400,优化区
259778-0,38400,优化区
259778-1,38400,优化区
259778-2,38400,优化区
259779-0,38400,优化区
259779-1,38400,优化区
259779-2,38400,优化区
259781-0,38400,优化区
259781-1,38400,优化区
259781-2,38400,优化区
259782-0,38400,优化区
259782-1,38400,优化区
259782-2,38400,优化区
273929-128,38400,优化区
273929-129,38400,优化区
273929-130,38400,优化区
274161-128,38400,优化区
274161-129,38400,优化区
274161-130,38400,优化区
47467-0,38400,优化区
47467-1,38400,优化区
47467-2,38400,优化区
47468-0,38400,优化区
47468-1,38400,优化区
47468-2,38400,优化区
47469-0,38400,优化区
47469-1,38400,优化区
47469-2,38400,优化区
47470-0,38400,优化区
47470-1,38400,优化区
47470-2,38400,优化区
5641-128,38400,优化区
5641-129,38400,优化区
5641-130,38400,优化区
5660-128,38400,优化区
5660-129,38400,优化区
5660-130,38400,优化区
5682-128,38400,优化区
7200-128,38400,优化区
7201-128,38400,优化区
7400-128,38400,优化区
7400-129,38400,优化区
7400-130,38400,优化区
11317-128,38400,保护带
11429-128,38400,保护带
11429-129,38400,保护带
11429-130,38400,保护带
124673-0,38400,保护带
124673-1,38400,保护带
124673-2,38400,保护带
124674-0,38400,保护带
124674-1,38400,保护带
124677-0,38400,保护带
124677-1,38400,保护带
124677-2,38400,保护带
124678-0,38400,保护带
124678-1,38400,保护带
124678-2,38400,保护带
124681-0,38400,保护带
124681-1,38400,保护带
124681-2,38400,保护带
124683-0,38400,保护带
124683-1,38400,保护带
124683-2,38400,保护带
124684-0,38400,保护带
124684-1,38400,保护带
124684-2,38400,保护带
124685-0,38400,保护带
124685-1,38400,保护带
124685-2,38400,保护带
124687-0,38400,保护带
124687-1,38400,保护带
124687-2,38400,保护带
124688-0,38400,保护带
124688-1,38400,保护带
124688-2,38400,保护带
124689-0,38400,保护带
124689-1,38400,保护带
124689-2,38400,保护带
124689-3,38400,保护带
124691-0,38400,保护带
124691-1,38400,保护带
124691-2,38400,保护带
124694-0,38400,保护带
124694-1,38400,保护带
124694-2,38400,保护带
124697-0,38400,保护带
124697-1,38400,保护带
124697-2,38400,保护带
124812-0,38400,保护带
124812-1,38400,保护带
124812-2,38400,保护带
124813-0,38400,保护带
124813-1,38400,保护带
124813-2,38400,保护带
124911-0,38400,保护带
124911-1,38400,保护带
124911-2,38400,保护带
15121-128,38400,保护带
15121-129,38400,保护带
15121-130,38400,保护带
15290-128,38400,保护带
15290-129,38400,保护带
15291-128,38400,保护带
15291-129,38400,保护带
15291-130,38400,保护带
15294-128,38400,保护带
15294-129,38400,保护带
15294-130,38400,保护带
15301-128,38400,保护带
15301-129,38400,保护带
15301-130,38400,保护带
15307-128,38400,保护带
15307-129,38400,保护带
15307-130,38400,保护带
15310-128,38400,保护带
15310-129,38400,保护带
15310-130,38400,保护带
15311-128,38400,保护带
15311-129,38400,保护带
15311-130,38400,保护带
15322-128,38400,保护带
15322-129,38400,保护带
15322-130,38400,保护带
15329-128,38400,保护带
15329-129,38400,保护带
15329-130,38400,保护带
15472-128,38400,保护带
15472-129,38400,保护带
15476-128,38400,保护带
15476-129,38400,保护带
15476-130,38400,保护带
15479-128,38400,保护带
15479-129,38400,保护带
15479-130,38400,保护带
15480-128,38400,保护带
15480-129,38400,保护带
15480-130,38400,保护带
15483-128,38400,保护带
15483-129,38400,保护带
15483-130,38400,保护带
15484-128,38400,保护带
15484-129,38400,保护带
15484-130,38400,保护带
15485-129,38400,保护带
15486-128,38400,保护带
15486-129,38400,保护带
15486-130,38400,保护带
15487-128,38400,保护带
15487-129,38400,保护带
15487-130,38400,保护带
15513-128,38400,保护带
15513-129,38400,保护带
15513-130,38400,保护带
15539-128,38400,保护带
15583-128,38400,保护带
15583-129,38400,保护带
236141-0,38400,保护带
236141-1,38400,保护带
236141-2,38400,保护带
246333-0,38400,保护带
246333-1,38400,保护带
246333-2,38400,保护带
246335-0,38400,保护带
246335-1,38400,保护带
246335-2,38400,保护带
246341-0,38400,保护带
246341-1,38400,保护带
246341-2,38400,保护带
246703-0,38400,保护带
246703-1,38400,保护带
246703-2,38400,保护带
246704-1,38400,保护带
246704-2,38400,保护带
246706-0,38400,保护带
246707-0,38400,保护带
246707-2,38400,保护带
253771-0,38400,保护带
253771-1,38400,保护带
253771-2,38400,保护带
253786-0,38400,保护带
253786-1,38400,保护带
253786-2,38400,保护带
253792-0,38400,保护带
253792-1,38400,保护带
253792-2,38400,保护带
253796-0,38400,保护带
253796-1,38400,保护带
253796-2,38400,保护带
254572-0,38400,保护带
254572-1,38400,保护带
254572-2,38400,保护带
259594-0,38400,保护带
259594-1,38400,保护带
259594-2,38400,保护带
259595-0,38400,保护带
259595-1,38400,保护带
259595-2,38400,保护带
259598-0,38400,保护带
259598-1,38400,保护带
259598-2,38400,保护带
259654-0,38400,保护带
259654-1,38400,保护带
259654-2,38400,保护带
259655-0,38400,保护带
259655-1,38400,保护带
259655-2,38400,保护带
259658-0,38400,保护带
259658-1,38400,保护带
259658-2,38400,保护带
259712-0,38400,保护带
259712-1,38400,保护带
259712-2,38400,保护带
259721-0,38400,保护带
259721-1,38400,保护带
259721-2,38400,保护带
273928-128,38400,保护带
273928-129,38400,保护带
273928-130,38400,保护带
273933-128,38400,保护带
273933-129,38400,保护带
273934-128,38400,保护带
273934-129,38400,保护带
273934-130,38400,保护带
273937-129,38400,保护带
47440-0,38400,保护带
47440-1,38400,保护带
47440-2,38400,保护带
47443-0,38400,保护带
47443-1,38400,保护带
47443-2,38400,保护带
47444-0,38400,保护带
47444-1,38400,保护带
47444-2,38400,保护带
47459-0,38400,保护带
47459-1,38400,保护带
47459-2,38400,保护带
5662-128,38400,保护带
5662-129,38400,保护带
5662-130,38400,保护带
5691-128,38400,保护带
7197-128,38400,保护带
7197-129,38400,保护带
7197-130,38400,保护带
7198-128,38400,保护带
7199-128,38400,保护带
7202-128,38400,保护带
7202-129,38400,保护带
7202-130,38400,保护带
7401-128,38400,保护带
7401-129,38400,保护带
7401-130,38400,保护带
47360-0,38496,保护带
47361-0,38496,保护带
11317-129,38544,保护带
11317-130,38544,保护带
246333-3,38544,保护带
246341-3,38544,保护带
246702-0,38544,保护带
246702-1,38544,保护带
246702-2,38544,保护带
246704-0,38544,保护带
246705-0,38544,保护带
246705-1,38544,保护带
246705-2,38544,保护带
246706-1,38544,保护带
246706-2,38544,保护带
246707-1,38544,保护带
254572-3,38544,保护带
254572-4,38544,保护带
254572-5,38544,保护带
238455-16,38950,优化区
259753-16,38950,优化区
274142-144,38950,优化区
274143-144,38950,优化区
47484-16,38950,优化区
47489-16,38950,优化区
47501-16,38950,优化区
47507-16,38950,优化区
47519-16,38950,优化区
47520-16,38950,优化区
47588-16,38950,优化区
47592-16,38950,优化区
47593-16,38950,优化区
5885-144,38950,优化区
7295-144,38950,优化区
7296-144,38950,优化区
7297-144,38950,优化区
7298-144,38950,优化区
7299-144,38950,优化区
7300-144,38950,优化区
7313-144,38950,优化区
7316-144,38950,优化区
7317-144,38950,优化区
7318-144,38950,优化区
7319-144,38950,优化区
7320-144,38950,优化区
7335-144,38950,优化区
7336-144,38950,优化区
7360-144,38950,优化区
7367-144,38950,优化区
7385-144,38950,优化区
124799-16,38950,保护带
47518-16,38950,保护带
47523-16,38950,保护带
47586-16,38950,保护带
5882-144,38950,保护带
238455-17,39148,优化区
12162-144,39148,保护带
