SECTOR_ID,NCELL_ID,RATIO_ALL,RANK,COSITE
15113-129,253890-1,51.44422311,1,0
15113-129,253914-1,26.14541833,2,0
15113-129,253899-0,7.021912351,3,0
15113-129,253935-1,5.079681275,4,0
15113-129,259775-1,0.398406375,5,0
15113-129,253904-1,0,6,0
15113-129,253936-1,0,7,0
238397-1,253931-0,30.77099587,1,0
238397-1,259772-2,21.24827903,2,0
238397-1,253927-2,20.88113814,3,0
238397-1,253921-2,3.579623681,4,0
238397-1,238397-0,2.730610372,0,1
238397-1,238397-2,0.137677834,0,1
238397-1,253904-1,0,5,0
238397-1,15578-130,0,6,0
238397-2,253893-0,12.60069045,1,0
238397-2,7400-130,11.04718067,2,0
238397-2,238397-1,5.523590334,0,1
238397-2,259772-2,0.057537399,3,0
238397-2,259778-1,0.057537399,4,0
238397-2,5641-129,0,5,0
238397-2,253905-1,0,6,0
238397-2,253806-1,0,7,0
238397-2,253930-129,0,8,0
253890-0,253934-1,30.72060683,1,0
253890-0,15113-129,10.87231353,2,0
253890-0,253890-2,2.93931732,0,1
253890-0,253890-1,1.801517067,0,1
253890-0,15113-128,0.442477876,3,0
253890-0,15113-130,0.094816688,4,0
253890-0,253914-2,0.031605563,5,0
253890-1,253935-0,15.74433657,1,0
253890-1,15113-129,14.54692557,2,0
253890-1,253899-0,13.55987055,3,0
253890-1,253914-1,13.1175836,4,0
253890-1,253935-1,3.12837109,5,0
253890-1,253890-2,2.292340885,0,1
253890-1,259772-0,2.206040992,6,0
253890-1,253890-0,2.060409924,0,1
253890-1,253909-2,1.68824164,7,0
253890-1,259775-1,1.558791802,8,0
253890-1,253891-2,1.510248112,9,0
253890-1,253907-0,0.782092772,10,0
253890-1,253934-1,0.636461704,11,0
253890-1,253899-2,0.194174757,12,0
253890-1,253909-1,0.005393743,13,0
253890-1,253924-0,0,14,0
253890-1,253891-0,0,15,0
253890-1,253914-2,0,16,0
253890-1,253936-1,0,17,0
253890-1,253921-0,0,18,0
253890-1,253905-1,0,19,0
253890-2,253890-1,8.683998928,0,1
253890-2,253890-0,5.02992942,0,1
253890-2,253912-2,2.702581971,1,0
253890-2,253914-2,0.714732422,2,0
253890-2,253934-1,0.625390869,3,0
253890-2,253935-0,0.56731886,4,0
